Date,360ONE.NS,ABB.NS,ABCAPITAL.NS,ACC.NS,ADANIENSOL.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ALKEM.NS,AMBUJACEM.NS,APLAPOLLO.NS,APOLLOHOSP.NS,ASHOKLEY.NS,ASIANPAINT.NS,ASTRAL.NS,ATGL.NS,AUBANK.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHFL.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BANKINDIA.NS,BDL.NS,BEL.NS,BHARATFORG.NS,BHARTIARTL.NS,BHARTIHEXA.NS,BHEL.NS,BIOCON.NS,BLUESTARCO.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,BSE.NS,CANBK.NS,CGPOWER.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COCHINSHIP.NS,COFORGE.NS,COLPAL.NS,CONCOR.NS,COROMANDEL.NS,CUMMINSIND.NS,DABUR.NS,DIVISLAB.NS,DIXON.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,ENRIN.NS,ETERNAL.NS,EXIDEIND.NS,FEDERALBNK.NS,FORTIS.NS,GAIL.NS,GLENMARK.NS,GMRAIRPORT.NS,GODFRYPHLP.NS,GODREJCP.NS,GODREJPROP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,HINDZINC.NS,HUDCO.NS,HYUNDAI.NS,ICICIBANK.NS,ICICIGI.NS,IDEA.NS,IDFCFIRSTB.NS,IGL.NS,INDHOTEL.NS,INDIANB.NS,INDIGO.NS,INDUSINDBK.NS,INDUSTOWER.NS,INFY.NS,IOC.NS,IRB.NS,IRCTC.NS,IREDA.NS,IRFC.NS,ITC.NS,ITCHOTELS.NS,JINDALSTEL.NS,JIOFIN.NS,JSWENERGY.NS,JSWSTEEL.NS,JUBLFOOD.NS,KALYANKJIL.NS,KEI.NS,KOTAKBANK.NS,KPITTECH.NS,LICHSGFIN.NS,LICI.NS,LODHA.NS,LT.NS,LTF.NS,LTIM.NS,LUPIN.NS,M&M.NS,M&MFIN.NS,MANKIND.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MFSL.NS,MOTHERSON.NS,MOTILALOFS.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NATIONALUM.NS,NAUKRI.NS,NESTLEIND.NS,NHPC.NS,NMDC.NS,NTPC.NS,NTPCGREEN.NS,NYKAA.NS,OBEROIRLTY.NS,OFSS.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PATANJALI.NS,PAYTM.NS,PERSISTENT.NS,PFC.NS,PHOENIXLTD.NS,PIDILITIND.NS,PIIND.NS,PNB.NS,POLICYBZR.NS,POLYCAB.NS,POWERGRID.NS,POWERINDIA.NS,PREMIERENE.NS,PRESTIGE.NS,RECLTD.NS,RELIANCE.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SOLARINDS.NS,SONACOMS.NS,SRF.NS,SUNPHARMA.NS,SUPREMEIND.NS,SUZLON.NS,SWIGGY.NS,TATACOMM.NS,TATACONSUM.NS,TATAELXSI.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TATATECH.NS,TCS.NS,TECHM.NS,TIINDIA.NS,TITAN.NS,TORNTPHARM.NS,TORNTPOWER.NS,TRENT.NS,TVSMOTOR.NS,ULTRACEMCO.NS,UNIONBANK.NS,UNITDSPR.NS,UPL.NS,VBL.NS,VEDL.NS,VMM.NS,VOLTAS.NS,WAAREEENER.NS,WIPRO.NS,YESBANK.NS,ZYDUSLIFE.NS
2022-10-03,161808,388862,2299023,1166442,,7578847,3136977,12903551,9659795,95764,14296197,498513,454169,38601592,934543,545531,578177,2032188,2467108,6405645,442640,1464138,,111747,8201980,20511123,1949872,1644954,21407465,1370936,12619046,,33110061,1655669,256402,36325,7084402,251830,1351149,48671660,1391436,1140736,2601710,11397506,17094616,1574495,148768,668430,349283,461834,1606325,549563,202663,4315023,296102,3476290,2180504,,44528870.0,1772744,20472858,838588,14508849,2889029,9884731,207228,460205,652772,474878,1951292,639263,1598950,390958,11541112,2951085,658511,8504297,4434508,1683197,342434,915676,,8232026,1267334,190181511,42193449,10340500,11918533,664670,732261,3397982,4524716,4943169,13288633,12575390,1735784,,3531770,9111289,,3216345,,835125,1285991,2938532,2409104,80103,2440064,2048822,3946303,820751,745730,1850414,5243675,243677,6624301,3150821,4223537,,1776834,1123076,2911717,13732716,203349,26165662,41065,693743,9872,654575,15908507,1359485,1040920,22756188,11903386,10528629,,18901530,878131,66371,4278367,50966493,19154,744303,1617989,331678,4781577,242120,671864,205113,47921973,176149,160643,11740863,23340,,559573,9460434,11852723,15187837,12532404,803074,981699,9351162,98780,3393565,405756,113509,1075149,646784,4444578,75684,207028703,,367199,1652675,188648,20332430,10864491,37282313,,1763331,2431236,252082,1049142,471052,754927,487553,1747293,337932,6607542,,1815744,7485490,6570803,,1136230,,8140834,48492331,8017627
2022-10-04,99308,313948,3287128,714858,,5642467,3959850,10445528,13899730,61649,12515966,676507,307009,25232554,994382,924778,475008,1640822,1932237,5438934,317554,1806381,,67349,11914950,20696678,3105252,3365962,14768228,907951,5772140,,19488969,2244077,79736,12884,4266520,153835,1286379,54791090,2363928,2855582,1911413,10862095,8051250,1746595,268268,966281,349882,586517,2948474,287021,145415,4660309,605857,1543270,961129,,47077000.0,1662915,10509831,1602525,10340686,1383797,4873009,705429,530875,558704,515663,1648706,799269,2331351,180703,11538526,2257640,391128,9017446,3795037,1327939,1136013,708669,,8975095,523647,108423095,126647554,2515216,6720506,946142,830556,4446589,2126306,6631341,10513995,12620400,2443139,,2654820,8803255,,3494559,,1112848,1384242,3297431,15329000,84713,1668922,1229492,2359294,776287,455752,1637532,9721518,282151,4221009,3011962,27799253,,3048584,503140,1648564,12711230,115187,13234878,40865,835622,10705,777162,17040008,1812545,745780,20706800,17953508,9013773,,5572272,575566,106794,1376289,14137567,36582,439122,743798,842674,5904815,402826,557358,262179,38320151,229697,355302,19179333,17211,,174580,6252237,8948850,7630575,17021286,1311142,420656,8745887,59059,2886230,186967,39922,1823809,690454,1856830,52896,100371486,,313405,1238967,139119,12761425,11173725,40186702,,2145875,2715420,371199,1291070,439554,1137887,669791,1378191,307268,4522225,,2372225,10018345,11559416,,1135815,,12591696,112076362,4337423
2022-10-06,72168,507339,2374868,690259,,2845165,2419573,6175752,9970920,33925,9447220,1192902,272050,17411148,922770,560618,461996,3958623,1519683,9376433,353529,1661891,,109654,15100600,16669962,1766243,2191254,20520361,6396270,6503205,,33973394,2959566,112044,30447,6973606,308216,1917828,29973490,4501861,990000,1561938,12795784,10455732,1730045,276218,1029933,503967,444453,2675443,354601,181967,9169254,326251,1231195,530684,,59866070.0,2254876,9762115,4064259,10663228,883803,4147578,777186,5466789,611141,616095,3203376,457774,3713623,195370,12549198,3033739,463669,11758976,6451819,1752351,1178145,915613,,12116698,1007667,67880130,53896596,3788230,5900933,1033954,684009,2773277,1311742,6180672,13000167,13151070,4123619,,2409652,22235092,,3200170,,10887764,3704140,5448177,5349504,81837,1748151,1340458,2020216,774273,878236,2771898,6431785,277078,2058528,3531469,6538585,,1156219,474445,4211279,23635734,750749,32852646,33601,1035068,10841,959379,12882262,2547390,1340720,15781273,30942248,6456408,,5378088,741635,91589,1966723,14570735,33655,1359102,894531,2552516,9088675,622382,594856,184761,27448412,214233,282347,20692745,18649,,533825,6223294,13352162,8076196,22003469,1232328,900769,9507322,56605,4285510,335634,61366,991262,656151,3449485,51529,129179117,,298283,2067042,187023,12771199,10571565,48169310,,1790816,2397633,430018,1409852,166218,269751,572255,2710620,495617,4376939,,1208462,8258370,16940276,,1403635,,11203878,149333764,2923167
2022-10-07,126364,601549,1813105,567262,,1930275,1190454,6086925,9399315,242385,9384553,464072,501530,30653930,774544,438609,440350,2075229,620743,7500540,591544,1150275,,223486,9911960,23951985,1640232,1177970,20045623,1933521,6025982,,16854426,4811153,235554,28071,6436838,318472,1477206,46539300,2641181,1025301,1182984,14641624,6233456,850870,346498,827197,566761,711813,3803118,222557,330155,4146172,213203,1338865,458833,,170879500.0,1987207,15447242,1590140,12478992,1029659,4849512,740553,2774124,386812,691354,1778044,568417,2174327,153781,13297994,2762228,1065099,5241693,5737368,1025923,550838,646889,,9705750,1134702,120002040,50888550,5800182,8199762,1019162,1470158,3338767,858038,3994466,14879891,5194830,3152365,,1793061,10506078,,3064718,,5553133,1601796,4594258,25057038,131217,1063844,3789910,2001032,644846,869040,1469264,3202301,205622,1521206,3501889,5092040,,1761023,428616,1993097,23360330,204408,9838831,75822,449791,8103,387703,7104964,1280955,792260,14045235,28094361,8825983,,5153520,648972,135898,2265031,13532236,17210,889308,1304985,1145932,3965157,387120,630486,138221,28687877,168832,239419,14282850,13751,,220094,3603038,7714340,3984607,12122823,1401822,570691,11065307,41735,5047815,529082,108639,712017,477073,1762328,83973,106914627,,685248,1053907,128245,10670854,11098716,36080875,,1939879,1539126,216957,5284814,571156,340421,633829,1271663,454883,3506067,,2367283,6152840,8499499,,475052,,7580186,59605751,1928901
2022-10-10,56632,204689,1728482,383666,,1590792,905480,4642360,6201065,44062,12806265,478723,207878,23341020,734377,521439,275699,1142078,500692,14106654,240975,1229639,,77722,6531130,21143008,2561677,2004660,11511957,2064561,3519416,,16294745,1970884,711810,13100,4731232,185199,1029738,26800945,1679444,866135,1583891,10850668,14843952,1007915,152612,700631,218628,724263,3601832,290753,281483,3136911,183914,1218745,412736,,87158480.0,1682424,8985222,448774,11158338,996602,3648024,700980,1486784,256184,771385,1345132,391374,2758812,227896,13109302,2979552,1076512,6519737,3370389,1043728,433434,2369623,,7357588,1053052,79255978,47420772,4582630,4647522,663371,531321,2547644,1055793,5274677,9042660,10935500,1952447,,5286105,9388996,,1784305,,3215967,1089870,1873278,9027012,80170,1037722,2176544,1501296,863600,290698,1656954,2914963,236016,862977,2230590,5515253,,644597,411218,549328,39598422,342176,6821782,63925,329230,8792,589159,6928269,2487690,692380,10954612,26497224,10484521,,3792576,485677,83613,1506159,10183057,13276,984624,3150552,753296,4531596,270996,406862,146853,32747438,207061,155471,16834226,12151,,972663,7257911,6329527,33430971,17325325,850805,539842,9649292,39434,3026365,184741,79407,458055,305852,1683827,43301,87610748,,588542,2334168,127500,32914630,9516511,36641275,,3064063,1660433,241172,1290447,331066,380492,532783,1019624,282642,4315074,,1009423,6651005,11439140,,664753,,18714926,51241998,1379160
2022-10-11,57884,294944,1757454,380893,,2544394,1352289,6193388,6456450,149439,7659702,252852,258216,33277650,1411316,642579,296173,2613081,1787991,15953495,258827,1402150,,75812,7322060,14200008,1460402,1255360,11739022,1389766,3699862,,19652471,2615823,937304,19107,5305338,202644,1688532,29612710,2542352,1401012,1538943,19154740,5336646,2008380,244141,2074615,387485,245949,6628877,1492286,106538,3727411,268072,1486910,661794,,70171060.0,1129277,15549812,310572,13259938,1000917,4895330,296358,1143209,545869,409456,1211382,1009006,3134969,298319,14521620,2358152,407068,7054654,5545425,1129783,639022,983569,,11130051,836099,125773464,37879776,3113840,4880130,633488,629472,21664338,1827138,12824774,14905741,8493040,3747651,,2507254,10609956,,3590610,,1964849,1644047,3651280,4694240,77941,1496718,1504923,1008701,775141,525942,1047963,3505597,332326,1687438,1569478,2972504,,1484169,422610,1388503,14842190,711088,10536954,705060,601969,10869,608515,10578567,1552395,1098520,6275242,30661764,13805741,,2080374,1032483,105554,2554567,13176461,19818,669423,1077900,891044,5082987,913488,461058,163241,35436582,174773,204428,17807162,15886,,1037453,4162842,9215177,13514062,15270763,580439,712461,10825440,47401,2086380,253398,70626,561126,477697,2426935,30633,144401518,,316866,1956824,117106,14641301,9006207,41083734,,4730645,2310765,190083,1067626,267278,212229,670168,928746,276525,4022583,,1257522,7363750,21039535,,1747694,,22723292,48398744,1330825
2022-10-12,58780,223256,1230574,611941,,2972601,1256878,5628537,9778020,45867,11786907,274177,621343,30621010,1812549,310543,329608,1964964,902926,21228018,496229,1538819,,89427,7407310,17414129,1835280,1157038,6659580,807532,5984299,,15229878,4144672,280430,12892,14791710,271156,1563078,30062920,1180821,3320152,1231143,9256951,6077994,924920,147412,1828097,151489,500287,3197008,445779,150495,3919948,207335,1470100,660964,,67799710.0,1640059,17110533,774096,11033418,1151313,8077869,270690,1183741,533880,412162,1495980,1001404,3502390,109064,9225050,1768526,401910,6584436,10589019,882873,414835,833257,,14557532,746825,65239891,64723442,2401522,5657173,687650,717715,3412460,1054240,5481467,14459865,9124970,2818945,,2250705,10337544,,3195372,,1143516,1530483,1978846,5855614,162480,1035118,2818472,875404,700431,601200,1907748,9658811,272767,696667,2884899,4534648,,1655770,380365,1190107,19440170,211779,7003894,244402,481258,8355,384979,8444884,1205530,774960,13581013,31297310,12496248,,2351328,852795,99300,2180961,9401804,12156,617166,693019,515200,6681196,667626,363098,152359,36192793,476156,136019,35288330,14900,,573361,4886498,7417103,5951285,12403161,754892,721135,8522604,104160,2322665,312616,41119,458927,442504,2875040,55537,151580915,,189725,1372962,123936,14287344,9504518,41357469,,1665247,2192421,159708,1131702,311104,363771,402168,1218634,223353,4179792,,1171443,12147050,10044150,,1992108,,12610118,66034496,1014645
2022-10-13,51704,393950,1078594,528138,,1840193,735633,7491563,8173685,24485,6212954,247517,277038,21549912,779890,386613,222741,2191049,728823,13024911,336605,1065166,,87441,6086550,14625936,1699594,822146,7795689,811464,2842056,,13430722,4126270,113656,10921,6058154,156770,737421,25711445,1263400,2075054,1438932,7231841,8786476,684880,85646,1326752,372965,195280,2075101,299017,135229,3680850,171144,1513920,753969,,73750800.0,1623608,18586183,867973,6397554,790121,7267888,455709,1326401,297584,751063,1493578,1498795,9698562,148931,14714234,1463375,239037,16565725,6399058,753331,312524,625892,,11563124,476988,84845696,41923792,3559758,8894689,638632,447044,1982808,1454103,4821514,9890714,30283930,1887973,,2494125,7266724,,1241456,,1018422,938662,1797963,18262099,498594,1172979,1502500,641441,686400,321578,1303645,5581003,286696,1220383,2137351,3303126,,1374739,355605,3306834,14991100,237153,10549087,51879,217471,8430,593384,22993510,814730,605540,16291160,58404950,9447511,,3512178,377775,52621,1638577,13320136,10721,344541,616004,393694,6156270,158460,323144,114173,30733961,239571,136687,16436903,8756,,514067,6193522,7328492,5302937,12769213,721065,689562,12972765,63593,2016655,184935,131940,350358,418090,4498223,20382,164628722,,382393,1198492,98972,12584114,9559072,34668093,,2054781,1344162,203213,1038687,292748,251988,286921,1370021,314360,2761557,,745089,8227580,10965277,,431376,,84896212,38929298,612113
2022-10-14,260412,307787,1166909,446497,,1344415,949504,4562526,12693555,25690,6337662,485850,254366,16431076,845765,312313,320461,3262434,1067832,8220645,499983,1239168,,80964,8390120,15403899,1973949,897712,7476515,643056,3608210,,21693441,2411572,96820,28592,5155460,350141,1133862,34716035,1031077,921483,1131139,6241886,5397260,2444480,124400,602819,284351,185612,1518166,320044,107440,3591285,188039,1244005,387253,,85139330.0,1244166,64043276,714508,6931298,853990,5255709,151077,656399,346664,568187,908480,929681,7424383,212087,12849920,2214367,250851,6115990,2677647,1001536,280350,737760,,8199540,1441873,52104162,37079387,4823718,6889203,838207,540291,2918993,1465282,14990688,10119406,17003310,1612489,,2736083,6424915,,3756770,,863436,1386827,1556750,13053826,170873,1670238,1739517,948008,617660,343578,1819114,3548649,837508,1099831,1696759,4516080,,831377,274160,986280,10554712,7732708,13759713,72525,578289,7118,770121,15341395,1319965,441300,18713051,37106654,9588164,,3665694,741979,77922,1991419,13205955,9888,675693,633179,1070830,3269811,365836,193968,353643,26022043,385703,151383,23365190,20307,,91289,5376042,9106089,8736716,8472934,1110130,717290,8545479,63317,3429520,247194,22324,480156,281480,3307000,20361,96966089,,330303,1278730,206564,12875470,8739363,32456805,,2245977,3492929,219094,1326916,355129,204800,441023,1723553,249291,2638619,,2108845,8041445,10076381,,914438,,27864794,60503189,835504
2022-10-17,434780,303859,1516290,1512370,,1985298,2910329,4602870,13506035,44816,9626670,217935,254734,17489686,1067773,364358,193751,1806133,1115302,9463827,921084,1551410,,83643,6174010,29422436,3043504,1329482,9943468,1768267,4566333,,20535097,2632881,243966,16787,5344642,93315,954720,86520200,805344,996499,1076392,5623812,3110088,1139470,128056,1114583,439603,206062,757924,211512,112819,4311369,950223,1050700,492114,,56007730.0,1060022,34812065,279170,9373705,490228,4346349,1956471,465893,479423,711250,1697222,868754,2136170,128076,18410500,1486039,257635,8966396,6140814,778918,373337,701064,,8936947,915437,41261207,43526119,5137482,6195992,2963275,480719,3419791,1077270,4286396,10841451,92205000,1387810,,2903656,6929063,,3151261,,1316773,2281559,1828274,5835504,113471,1104283,1102947,1296003,772169,533104,2588147,3657075,290860,441511,2158727,2772978,,1054028,304671,1166622,5292910,2632953,6975262,46356,321142,8749,462639,14277417,894520,348500,32706247,29912215,13426449,,4342974,3499997,58493,2146524,9320940,9429,888690,516956,426170,5176086,345108,1634006,521182,42448068,425365,223353,9520537,8498,,138555,5555192,16729355,9253995,11143044,1114767,1615547,13485349,179228,1567175,105577,36398,520984,477988,2647369,33857,249793767,,441261,940646,1199165,9543556,9420098,37568783,,1517005,1426207,364729,1111199,213616,188182,418522,966318,453912,5389780,,1360600,12143585,9189148,,605427,,16909538,83954100,1270454
